Team,o_Effic,o_FG_rate,o_FT_rate,o_3P_rate,d_Effic,d_FG_rate,d_FT_rate,d_3P_rate,WIN_LOSE_rate
ANA,4792,0.41703917959505654,0.7342249657064472,0.0,5067,0.43614830072090627,0.7038709677419355,0.0,0.32051282051282054
AND,1878,0.3106811640550048,0.7268459240290226,0.0,5350,0.0,0.0,0.0,0.578125
ATL,366659,0.4610377605570876,0.7526552739032817,0.9911153419006822,376424,0.46687904634672694,0.7589284562702333,0.8985367200441745,0.49467021985343107
BA1,15424,0.3416236003445306,0.7152475516866159,0.0,37540,0.0,0.0,0.0,0.3511111111111111
BAL,57186,0.4438638472432485,0.7337299974130603,0.0,83333,0.4462025316455696,0.744252015527023,0.0,0.4932349323493235
BOS,471892,0.44055460004082775,0.7526361941535809,0.7334416903697684,531599,0.4612948318555795,0.7563323397721261,0.7968671679197995,0.5959068147180492
BUF,73037,0.4602863080120065,0.7487437185929648,0.0,76425,0.4648534426177022,0.7583786724700762,0.0,0.3948170731707317
CAP,10558,0.44128835911742326,0.7453183520599251,0.0,10589,0.4505154639175258,0.7559487492373398,0.0,0.573170731707317
CAR,31595,0.46670008773029203,0.7175153973261229,0.0,31810,0.46837853136417434,0.7490696825975921,0.0,0.5119047619047619
CH1,4533,0.3170893346293187,0.6662096282754418,0.0,18028,0.0,0.0,0.0,0.6118143459915611
CH2,10383,0.4309594398536555,0.6852010265183918,0.0,18664,0.0,0.0,0.0,0.26875
CHA,144275,0.46332534180003887,0.761911253493286,1.5011748909029876,145859,0.46834014648271166,0.7516282344657631,1.3301233824857057,0.48566308243727596
CHI,379827,0.46111381481938823,0.7519144516850599,0.907115531752104,389327,0.46866606609612466,0.7518633291480779,0.8830576155162578,0.5096366508688783
CHR,9569,0.43169558244642076,0.7094465648854962,0.36322360953461974,10580,0.4633471645919779,0.7670030715225976,0.3611111111111111,0.21951219512195122
CIN,87533,0.442264767568205,0.7456244115587959,0.0,131440,0.4664715612673368,0.7348797250859107,0.0,0.4667788057190917
CL1,195,0.2937357431128268,0.6323529411764706,0.0,4308,0.0,0.0,0.0,0.5
CLE,347207,0.458176334523936,0.752718682542053,1.1356193411674051,357970,0.46750807695967106,0.7604563740684561,0.8959365708622399,0.4400986610288936
DAL,259253,0.4603456016946226,0.7657730485787336,0.8773638968481375,272738,0.4765018437327604,0.7470655969095906,0.8361132170836493,0.4578790882061447
DE1,-698,0.24593530720520282,0.6178045515394913,0.0,3918,0.0,0.0,0.0,0.3333333333333333
DEN,375109,0.4610767184035477,0.7616521162439253,1.0017454545454545,385370,0.47220225688205275,0.7490506329113924,1.0730104300614374,0.4809061488673139
DET,419597,0.4514824297747597,0.7419466965596948,0.8773623385452073,475142,0.4665017976436789,0.7517430638532544,0.9304828823441471,0.4845974631115713
DLC,28988,0.4527071793920441,0.756762513312034,0.0,28291,0.4432020199417721,0.7400325755966292,0.0,0.4950980392156863
