Team,Coachid,CFirstname,CLastname,Ilkid,PFirstname,PLastname
ATL,STOTTTE01,Terry,Stotts,ABDURSH01,Shareef,Abdur-rahim
ATL,STOTTTE01,Terry,Stotts,BRADLMI01,Michael,Bradley
ATL,STOTTTE01,Terry,Stotts,COLLIJA02,Jason,Collier
ATL,STOTTTE01,Terry,Stotts,CRAWFCH01,Chris,Crawford
ATL,STOTTTE01,Terry,Stotts,DAVISJO02,Josh,Davis
ATL,STOTTTE01,Terry,Stotts,DIAWBO01,Boris,Diaw
ATL,STOTTTE01,Terry,Stotts,DICKADA01,Dan,Dickau
ATL,STOTTTE01,Terry,Stotts,FULLEHI01,Hiram,Fuller
ATL,STOTTTE01,Terry,Stotts,HANSETR01,Travis,Hansen
ATL,STOTTTE01,Terry,Stotts,HENDEAL01,Alan,Henderson
ATL,STOTTTE01,Terry,Stotts,JACKSST02,Stephen,Jackson
ATL,STOTTTE01,Terry,Stotts,MOHAMNA01,Nazr,Mohammed
ATL,STOTTTE01,Terry,Stotts,NAILOLE01,Lee,Nailon
ATL,STOTTTE01,Terry,Stotts,NDIAYMA02,Mamadou,Ndiaye
ATL,STOTTTE01,Terry,Stotts,PERSOWE01,Wesley,Person
ATL,STOTTTE01,Terry,Stotts,PRZYBJO01,Joel,Przybilla
ATL,STOTTTE01,Terry,Stotts,RATLITH01,Theo,Ratliff
ATL,STOTTTE01,Terry,Stotts,REBRAZE01,Zeljko,Rebraca
ATL,STOTTTE01,Terry,Stotts,SURABO01,Bob,Sura
ATL,STOTTTE01,Terry,Stotts,TERRYJA01,Jason,Terry
ATL,STOTTTE01,Terry,Stotts,VAUGHJA01,Jacque,Vaughn
ATL,STOTTTE01,Terry,Stotts,WALLARA01,Rasheed,Wallace
BOS,CARROJO01,John,Carroll,ATKINCH01,Chucky,Atkins
BOS,CARROJO01,John,Carroll,BAKERVI01,Vin,Baker
BOS,CARROJO01,John,Carroll,BANKSMA01,Marcus,Banks
BOS,CARROJO01,John,Carroll,BARRODA01,Dana,Barros
BOS,CARROJO01,John,Carroll,BATTITO01,Tony,Battie
BOS,CARROJO01,John,Carroll,BLOUNMA01,Mark,Blount
BOS,CARROJO01,John,Carroll,BROWNKE01,Kedrick,Brown
BOS,CARROJO01,John,Carroll,DAVISRI01,Ricky,Davis
BOS,CARROJO01,John,Carroll,HUNTEBR01,Brandon,Hunter
BOS,CARROJO01,John,Carroll,JAMESMI01,Mike,James
BOS,CARROJO01,John,Carroll,JONESJU01,Jumaine,Jones
BOS,CARROJO01,John,Carroll,LAFRERA01,Raef,LaFrentz
BOS,CARROJO01,John,Carroll,MCCARWA01,Walter,McCarty
BOS,CARROJO01,John,Carroll,MIHMCH01,Chris,Mihm
BOS,CARROJO01,John,Carroll,PERKIKE01,Kendrick,Perkins
BOS,CARROJO01,John,Carroll,PIERCPA01,Paul,Pierce
BOS,CARROJO01,John,Carroll,STEWAMI01,Michael,Stewart
BOS,CARROJO01,John,Carroll,WELSCJI01,Jiri,Welsch
BOS,CARROJO01,John,Carroll,WILLIER01,Eric,Williams
BOS,OBRIEJI01,Jim,O'Brien,ATKINCH01,Chucky,Atkins
BOS,OBRIEJI01,Jim,O'Brien,BAKERVI01,Vin,Baker
